iter	Passed	Remaining
703	32859	13815
704	32900	13767
705	32947	13720
706	32987	13670
707	33036	13625
708	33081	13577
709	33137	13534
710	33185	13489
711	33229	13441
712	33278	13395
713	33325	13349
714	33378	13304
715	33430	13260
716	33476	13213
717	33533	13170
718	33613	13136
719	33670	13093
720	33723	13049
721	33774	13004
722	33826	12959
723	33866	12910
724	33915	12864
725	33975	12822
726	34039	12782
727	34083	12734
728	34138	12690
729	34197	12648
730	34246	12602
731	34299	12557
732	34348	12511
733	34398	12466
734	34452	12421
735	34496	12373
736	34559	12332
737	34606	12285
738	34657	12240
739	34710	12195
740	34762	12150
741	34810	12103
742	34858	12057
743	34905	12010
744	34951	11963
745	35003	11918
746	35048	11870
747	35103	11826
748	35150	11779
749	35192	11730
750	35237	11683
751	35291	11638
752	35334	11590
753	35381	11543
754	35432	11498
755	35477	11450
756	35526	11404
757	35568	11355
758	35638	11315
759	35687	11269
760	35732	11222
761	35779	11175
762	35828	11128
763	35873	11081
764	35921	11034
765	35977	10990
766	36029	10945
767	36075	10897
768	36120	10850
769	36160	10801
770	36202	10752
771	36253	10707
772	36301	10660
773	36353	10614
774	36406	10569
775	36464	10525
776	36514	10479
777	36567	10434
778	36611	10386
779	36657	10339
780	36702	10291
781	36753	10245
782	36805	10200
783	36854	10153
784	36905	10107
785	36956	10061
786	37010	10016
787	37063	9971
788	37130	9929
789	37187	9885
790	37235	9838
791	37288	9792
792	37339	9746
793	37391	9700
794	37430	9651
795	37472	9603
796	37520	9556
797	37575	9511
798	37628	9466
799	37677	9419
800	37725	9372
801	37775	9326
802	37819	9278
803	37863	9230
804	37909	9183
805	37956	9135
806	38012	9091
807	38062	9044
808	38118	8999
809	38167	8952
810	38217	8906
811	38262	8858
812	38313	8812
813	38360	8765
814	38409	8718
815	38470	8674
816	38517	8627
817	38570	8581
818	38617	8534
819	38668	8488
820	38717	8441
821	38763	8394
822	38815	8347
823	38861	8300
824	38906	8252
825	38953	8205
826	39001	8158
827	39049	8111
828	39096	8064
829	39143	8017
830	39188	7969
831	39240	7923
832	39294	7877
833	39343	7830
834	39381	7782
835	39429	7734
836	39474	7687
837	39525	7641
838	39571	7593
839	39614	7545
840	39658	7497
841	39714	7452
842	39773	7407
843	39826	7361
844	39871	7313
845	39914	7265
846	39959	7218
847	40010	7171
848	40052	7123
849	40100	7076
850	40146	7029
851	40196	6982
852	40239	6934
853	40291	6888
854	40338	6841
855	40392	6794
856	40453	6750
857	40504	6703
858	40547	6655
859	40589	6607
860	40652	6562
861	40706	6516
862	40752	6469
863	40800	6422
864	40850	6375
865	40897	6328
866	40952	6282
867	41002	6235
868	41055	6189
869	41097	6141
870	41145	6093
871	41189	6046
872	41236	5998
873	41282	5951
874	41331	5904
875	41380	5857
876	41435	5811
877	41481	5763
878	41530	5716
879	41576	5669
880	41630	5623
881	41678	5576
882	41728	5529
883	41776	5481
884	41822	5434
885	41866	5386
886	41910	5339
887	41960	5292
888	42006	5244
889	42052	5197
890	42098	5150
891	42142	5102
892	42187	5054
893	42230	5007
894	42272	4959
895	42318	4911
896	42371	4865
897	42428	4819
898	42480	4772
899	42538	4726
900	42589	4679
901	42640	4632
902	42687	4585
903	42731	4537
904	42780	4490
905	42826	4443
906	42871	4395
907	42931	4349
908	42978	4302
909	43026	4255
910	43078	4208
911	43131	4161
912	43181	4114
913	43223	4066
914	43275	4020
915	43325	3973
916	43371	3925
917	43415	3878
918	43463	3830
919	43512	3783
920	43564	3736
921	43618	3690
922	43668	3642
923	43729	3596
924	43779	3549
925	43819	3501
926	43859	3453
927	43909	3406
928	43956	3359
929	44004	3312
930	44052	3264
931	44099	3217
932	44148	3170
933	44193	3122
934	44242	3075
935	44293	3028
936	44340	2981
937	44392	2934
938	44435	2886
939	44484	2839
940	44528	2791
941	44578	2744
942	44627	2697
943	44668	2649
944	44717	2602
945	44764	2555
946	44813	2508
947	44866	2461
948	44915	2413
949	44967	2366
950	45007	2319
951	45051	2271
952	45094	2223
953	45137	2176
954	45183	2129
955	45222	2081
956	45269	2034
957	45315	1986
958	45367	1939
959	45417	1892
960	45467	1845
961	45518	1798
962	45571	1750
963	45620	1703
964	45670	1656
965	45717	1609
966	45763	1561
967	45811	1514
968	45859	1467
969	45910	1419
970	45968	1372
971	46019	1325
972	46075	1278
973	46126	1231
974	46182	1184
975	46227	1136
976	46272	1089
977	46314	1041
978	46361	994
979	46407	947
980	46455	899
981	46502	852
982	46551	805
983	46600	757
984	46651	710
985	46694	663
986	46745	615
987	46806	568
988	46861	521
989	46914	473
990	46965	426
991	47007	379
992	47057	331
993	47110	284
994	47159	236
995	47209	189
996	47259	142
997	47306	94
998	47351	47
999	47395	0
